
 num     #instances         #bytes  class name
 234:           451           7216  java.util.HashSet
 235:           179           7160  java.lang.invoke.MethodType
 236:           118           7080  [Ljava.lang.ref.SoftReference;
 237:           108           6912  scala.reflect.internal.pickling.UnPickler$Scan
 238:           143           6864  org.apache.spark.streaming.ui.BatchUIData
 239:           214           6848  java.lang.invoke.LambdaForm$Name
 240:           214           6848  scala.reflect.runtime.SymbolLoaders$TopClassCompleter
 241:           121           6776  org.apache.spark.ShuffleDependency
 242:           276           6624  org.apache.kafka.common.metrics.stats.Rate
 243:           271           6504  scala.collection.immutable.HashSet$HashTrieSet
 244:           203           6496  scala.collection.immutable.Map$Map2
 245:            90           6480  java.lang.reflect.Field
 246:           270           6480  java.util.ArrayDeque
 247:            40           6400  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$3
 248:           265           6360  java.util.LinkedList$Node
 249:           113           6328  org.apache.spark.streaming.scheduler.JobSet
 250:           196           6272  org.apache.spark.sql.execution.ui.SparkPlanGraphEdge
 251:            60           6240  org.apache.spark.sql.execution.SortExec
 252:           156           6240  org.apache.spark.streaming.kafka010.KafkaRDDPartition
 253:           386           6176  java.lang.ref.ReferenceQueue$Lock
 254:           128           6144  org.apache.spark.sql.catalyst.expressions.And
 255:            85           6120  scala.reflect.runtime.SymbolLoaders$PackageScope
 256:           187           5984  java.util.Vector
 257:           124           5952  org.apache.spark.sql.catalyst.expressions.IsNotNull
 258:           123           5904  scala.collection.immutable.Map$Map4
 259:           239           5848  [Ljava.lang.reflect.Constructor;
 260:           182           5824  org.apache.spark.rdd.RDD$$anonfun$mapPartitionsInternal$1
 261:           242           5808  java.util.zip.ZStreamRef
 262:           181           5792  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 263:           144           5760  [Lorg.apache.spark.streaming.kafka010.OffsetRange;
 264:            36           5760  org.spark_project.jetty.servlet.ServletHandler
 265:           359           5744  com.sun.proxy.$Proxy9
 266:           239           5736  org.apache.spark.sql.catalyst.analysis.FunctionRegistry$$anonfun$7
 267:           239           5736  org.slf4j.impl.Log4jLoggerAdapter
 268:           143           5720  org.apache.spark.streaming.ui.OutputOperationUIData
 269:           118           5664  java.util.Hashtable
 270:           176           5632  java.util.regex.Pattern$Curly
 271:           176           5632  org.antlr.v4.runtime.atn.ArrayPredictionContext
 272:            88           5632  scala.reflect.internal.Types$PackageTypeRef
 273:           233           5592  scala.reflect.internal.Constants$Constant
 274:           174           5568  java.io.ObjectStreamClass$WeakClassKey
 275:           138           5520  java.math.BigInteger
 276:           230           5520  javax.management.ObjectName$Property
 277:           230           5520  org.apache.spark.sql.catalyst.expressions.codegen.CodeAndComment
 278:           113           5424  org.apache.spark.streaming.scheduler.Job
 279:           195           5408  [Ljavax.management.ObjectName$Property;
 280:           225           5400  java.util.concurrent.ConcurrentLinkedQueue
 281:            75           5400  java.util.regex.Pattern
 282:           225           5400  org.apache.hadoop.conf.Configuration$DeprecatedKeyInfo
 283:           135           5400  org.apache.spark.internal.config.ConfigEntryWithDefault
 284:            61           5368  org.apache.spark.sql.execution.ExternalRDDScanExec
 285:            61           5368  org.apache.spark.sql.execution.ProjectExec
 286:            61           5368  org.apache.spark.sql.execution.SerializeFromObjectExec
 287:            37           5328  org.spark_project.jetty.servlet.ServletHolder
 288:           329           5264  java.util.concurrent.atomic.AtomicBoolean
 289:           164           5248  org.apache.kafka.common.metrics.stats.Avg
 290:           130           5200  java.security.ProtectionDomain
 291:            36           5184  [Ljava.util.Queue;
 292:            36           5184  [Ljava.util.concurrent.ConcurrentMap;
 293:           214           5136  java.util.concurrent.atomic.AtomicLong
 294:           212           5088  org.apache.spark.sql.execution.WholeStageCodegenExec$$anonfun$8
 295:           156           4992  org.apache.spark.sql.execution.ui.SQLPlanMetric
 296:            88           4928  org.apache.spark.sql.catalyst.expressions.LessThan
 297:           123           4920  java.util.TreeMap$Entry
 298:           307           4912  java.lang.Byte
 299:           121           4840  java.io.ObjectStreamClass$FieldReflectorKey
 300:           100           4800  scala.reflect.internal.Types$RefinedType0
 301:           149           4768  java.util.LinkedList
 302:           176           4720  [Lorg.antlr.v4.runtime.atn.PredictionContext;
 303:           292           4672  java.util.concurrent.atomic.AtomicReferenceArray
 304:            51           4640  [S
 305:           193           4632  javax.management.ImmutableDescriptor
 306:           143           4576  org.apache.spark.streaming.scheduler.StreamInputInfo
 307:           188           4512  org.spark_project.jetty.util.component.ContainerLifeCycle$Bean
 308:            33           4488  io.netty.channel.nio.NioEventLoop
 309:           140           4480  org.apache.kafka.common.metrics.stats.Rate$SampledTotal
 310:           186           4464  sun.reflect.generics.tree.SimpleClassTypeSignature
 311:           136           4352  org.apache.kafka.common.metrics.stats.Count
 312:           271           4336  java.lang.Short
 313:            77           4312  org.apache.spark.sql.catalyst.expressions.BoundReference
 314:            77           4312  org.apache.spark.sql.catalyst.expressions.objects.AssertNotNull
 315:           134           4288  org.apache.spark.internal.config.ConfigBuilder
 316:           177           4248  java.util.regex.Pattern$GroupHead
