Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
27.678: [GC (Allocation Failure) [PSYoungGen: 159045K->1171K(165888K)] 245916K->88433K(506368K), 0.0047042 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
27.767: [GC (Allocation Failure) [PSYoungGen: 158355K->1649K(165376K)] 245617K->89175K(505856K), 0.0039327 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
35.264: [GC (Allocation Failure) [PSYoungGen: 159345K->2415K(165888K)] 246871K->90133K(506368K), 0.0066492 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
35.350: [GC (Allocation Failure) [PSYoungGen: 160111K->1254K(166400K)] 247829K->89868K(506880K), 0.0042365 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
35.487: [GC (Allocation Failure) [PSYoungGen: 159974K->384K(166400K)] 248588K->89190K(506880K), 0.0036883 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
35.667: [GC (Allocation Failure) [PSYoungGen: 159104K->2858K(165888K)] 247910K->91920K(506368K), 0.0052991 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
35.756: [GC (Allocation Failure) [PSYoungGen: 162090K->2360K(166400K)] 251152K->92554K(506880K), 0.0051934 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
35.848: [GC (Allocation Failure) [PSYoungGen: 161592K->2287K(167424K)] 251786K->93017K(507904K), 0.0100420 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
36.038: [GC (Allocation Failure) [PSYoungGen: 163055K->3059K(167424K)] 253785K->94371K(507904K), 0.0052693 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
36.137: [GC (Allocation Failure) [PSYoungGen: 163827K->1447K(167424K)] 255139K->93883K(507904K), 0.0044384 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
36.231: [GC (Allocation Failure) [PSYoungGen: 162727K->2737K(167424K)] 255163K->95747K(507904K), 0.0047031 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
36.482: [GC (Allocation Failure) [PSYoungGen: 164017K->5540K(166912K)] 257027K->99181K(507392K), 0.0053075 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
36.615: [GC (Allocation Failure) [PSYoungGen: 166820K->4422K(165888K)] 260461K->98652K(506368K), 0.0165600 secs] [Times: user=0.09 sys=0.01, real=0.02 secs] 
36.726: [GC (Allocation Failure) [PSYoungGen: 165702K->2060K(167936K)] 259932K->97302K(508416K), 0.0087469 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
36.826: [GC (Allocation Failure) [PSYoungGen: 162828K->1467K(167424K)] 258070K->96980K(507904K), 0.0043300 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
36.937: [GC (Allocation Failure) [PSYoungGen: 162035K->1107K(167424K)] 257548K->96803K(507904K), 0.0051479 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
37.039: [GC (Allocation Failure) [PSYoungGen: 161788K->1171K(167424K)] 257485K->97211K(507904K), 0.0046535 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
